transaction_id,account_id,transaction_amount,transaction_date,transaction_type,location,channel,login_attempts,account_balance,amount_anomaly,login_attempt_anomaly,channel_risk,high_debit_risk,low_bal_high_amount,anomaly_score,final_flag
TX000001,AC00128,14.09,2023-04-11,Debit,San Diego,ATM,1,5112.21,0,0,0,0,0,0,0
TX000002,AC00455,376.24,2023-06-27,Debit,Houston,ATM,1,13758.91,0,0,0,0,0,0,0
TX000003,AC00019,126.29,2023-07-10,Debit,Mesa,Online,1,1122.35,0,0,1,0,0,1,0
TX000004,AC00070,184.50,2023-05-05,Debit,Raleigh,Online,1,8569.06,0,0,1,0,0,1,0
TX000005,AC00411,13.45,2023-10-16,Credit,Atlanta,Online,1,7429.40,0,0,1,0,0,1,0
TX000006,AC00393,92.15,2023-04-03,Debit,Oklahoma City,ATM,1,781.68,0,0,0,0,0,0,0
TX000007,AC00199,7.08,2023-02-15,Credit,Seattle,ATM,1,13316.71,0,0,0,0,0,0,0
TX000008,AC00069,171.42,2023-05-08,Credit,Indianapolis,Branch,1,2796.24,0,0,0,0,0,0,0
TX000009,AC00135,106.23,2023-03-21,Credit,Detroit,Branch,1,9095.14,0,0,0,0,0,0,0
TX000010,AC00385,815.96,2023-03-31,Debit,Nashville,ATM,1,1021.88,0,0,0,0,0,0,0
TX000011,AC00150,17.78,2023-03-14,Credit,Albuquerque,Online,1,7599.52,0,0,1,0,0,1,0
TX000012,AC00459,190.02,2023-02-06,Debit,Memphis,Online,1,1528.81,0,0,1,0,0,1,0
TX000013,AC00392,494.52,2023-06-07,Credit,Mesa,Branch,1,1620.02,0,0,0,0,0,0,0
TX000014,AC00264,781.76,2023-11-20,Debit,Memphis,ATM,1,189.69,0,0,0,0,1,1,0
TX000015,AC00085,166.99,2023-02-13,Debit,Louisville,Online,1,299.93,0,0,1,0,0,1,0
TX000016,AC00270,465.45,2023-12-12,Debit,Denver,ATM,1,3465.54,0,0,0,0,0,0,0
TX000017,AC00317,555.80,2023-10-30,Credit,Austin,Branch,1,1131.26,0,0,0,0,0,0,0
TX000018,AC00359,492.93,2023-12-14,Debit,Columbus,Online,1,5109.97,0,0,1,0,0,1,0
TX000019,AC00242,18.68,2023-02-21,Credit,Albuquerque,Branch,1,7948.37,0,0,0,0,0,0,0
TX000020,AC00285,71.48,2023-06-08,Credit,Columbus,Online,1,6568.59,0,0,1,0,0,1,0
TX000021,AC00002,59.32,2023-02-28,Debit,Los Angeles,Branch,1,5750.89,0,0,0,0,0,0,0
TX000022,AC00014,85.77,2023-08-11,Debit,Las Vegas,Branch,1,9146.19,0,0,0,0,0,0,0
TX000023,AC00095,52.20,2023-06-06,Debit,Atlanta,Online,1,8974.93,0,0,1,0,0,1,0
TX000024,AC00453,345.84,2023-05-02,Debit,Fort Worth,Online,3,1402.50,0,0,1,0,0,1,0
TX000025,AC00241,145.54,2023-03-02,Debit,Raleigh,Online,1,1930.96,0,0,1,0,0,1,0
TX000026,AC00041,7.49,2023-10-20,Credit,Houston,Online,1,3634.67,0,0,1,0,0,1,0
TX000027,AC00441,246.93,2023-04-17,Debit,Miami,ATM,5,673.35,0,1,0,0,0,1,0
TX000028,AC00057,40.32,2023-03-29,Debit,Milwaukee,Branch,1,2686.52,0,0,0,0,0,0,0
TX000029,AC00390,127.45,2023-01-24,Debit,Las Vegas,Online,1,1772.06,0,0,1,0,0,1,0
TX000030,AC00313,56.17,2023-09-20,Debit,Detroit,Branch,1,1351.69,0,0,0,0,0,0,0
TX000031,AC00367,28.31,2023-07-17,Credit,Miami,Online,1,8334.47,0,0,1,0,0,1,0
TX000032,AC00291,59.12,2023-02-06,Debit,Baltimore,ATM,1,9823.64,0,0,0,0,0,0,0
TX000033,AC00060,396.45,2023-09-25,Debit,New York,ATM,3,9690.15,0,0,0,0,0,0,0
TX000034,AC00359,877.81,2023-03-13,Debit,Los Angeles,Online,1,399.00,0,0,1,0,1,2,0
TX000035,AC00365,255.26,2023-10-27,Credit,San Francisco,Branch,1,14815.87,0,0,0,0,0,0,0
TX000036,AC00267,124.76,2023-10-16,Debit,Seattle,Branch,1,5764.72,0,0,0,0,0,0,0
TX000037,AC00404,78.13,2023-11-21,Debit,Milwaukee,Branch,1,900.61,0,0,0,0,0,0,0
